음식명
쇠고기 탕수육
쇠고기 튀김
탕수육
찹쌀 탕수육
"고추잡채, 꽃방"
사천탕수육
쇠고기와 송이볶음
금전우육
쇠고기와 굴소스
쇠고기와 안심고추볶음
동고 쇠고기
쇠고기와 짜장볶음
돼지고기와 고추볶음
뎀뿌라
삼겹살찜요리
난자완스
삼선볶음밥
볶음밥
완자밥
라조기밥
유산슬밥
마파두부밥
잡채밥
자연송이밥
잡탕밥
수제왕만두(4)
수제사로바우(6)
수제새우만두
물만두 (1인분 15개)
군만두 (1인분 10개)
꽃빵 (1인분 5개)
인천향토짜장
삼선짜장
하얀짜장
짜장
기스면
삼선울면
삼선우동
중국냉면(여름메뉴)
사천짜장
물초면
삼슬초면
굴짬뽕(겨울메뉴)
굴탕면(겨울메뉴)
전복삼선짬뽕
전복삼선고추짬뽕
저복안매운짬뽕
짬뽕
궁중한방삼계탕
궁중전복삼계탕
궁중녹각삼계탕
궁중 옻 삼계탕
전복죽
자연산농어회
복매운탕
복지리탕
코다리 새싹 물냉면`
코다리 새싹 비빔냉면`
새싹물냉면
면사리 추가
코다리회 추가
코다리냉면 세트
고기만두
김치만두
코다리조림 정식(2인이상)
코다리조림
소고기 수육
삼겹살
목살
돼지왕갈비
항정살
삼겹살 수육
한우 등심구이(안창살/200g)
한우 등심구이(치마살/200g)
소갈비살(200g)
차돌박이(200g)
불고기(200g)
육회(200g)
사시미(200g)
후식 물냉면
후식 비빔냉면
육회비빔밥
갈비탕
육개장
돌솥비빔밥
공기밥
설렁탕
도가니탕
꼬리곰탕
해장국
육개장
냉면
떡국
만두국
특설렁탕
떡만두국
꼬리찜
도가니무침(대)
도가니무침(소)
수육(대)
수육(소)
자연산 민어 (1인분)
자연산 광어 (1인분)
자연산 우럭 (1인분)
옻오리
한방백숙
전골
훈제
로스(800g)
주물럭(800g)
반마리(로스/550g)
반마리(주물럭/550g)
반마리(훈제/550g)
옻닭
닭백숙
닭볶음탕
삼계탕
오리뚝배기
냉면
볶음밥
떡사리
라면
버섯
야채
수제비
녹두죽
바지락고추장찌개
굴고추장찌개
꽃게매운탕
양선지해장국
선지해장국
양곰탕(전복)
얼큰소고기국밥
곱창구이
막창구이
곱창전골(1~2인분기준)
곱창전골(3~4인분 기준)
암소애기보수육
한우육회
더덕막걸리+도토리묵
활어모듬
광어/우럭 활어회
놀래미/도미/농어 활어회
낙지볶음
생선초밥
전복죽
회덮밥
물회
해물탕
조개찜
아구찜(대)
아구찜(중)
아구찜(소)
아구탕(대)
아구탕(중)
아구탕(소)
아구백숙(대)
아구백숙(중)
아구백숙(소)
아구지리(대)
아구지리(중)
아구지리(소)
해물찜(대)
해물찜(중)
곤이추가
어린이돈까스
볶음밥
공기밥
사리
음료수
소주
맥주
청하
막걸리
카르멘 톨텐 멜롯(1병)
노스트로스 리제르바 까베르네 쇼비뇽(1병)
